Date,Open,High,Low,Close,Volume
1/11/2019 15:00:00,187.98,188.92,187.65,188.92,0
1/14/2019 15:00:00,188.4,188.8,186.7,187.71,0
1/15/2019 15:00:00,188.04,190.18,187.77,190.18,0
1/16/2019 15:00:00,190.41,191.07,189.47,190.06,0
1/17/2019 15:00:00,190.33,191.73,190.28,190.58,0
1/18/2019 15:00:00,191.01,191.56,190.2,191.31,0
1/21/2019 15:00:00,191.69,192.38,191.29,191.34,0
1/22/2019 15:00:00,191.39,191.75,190.3,191.56,0
1/23/2019 15:00:00,191.23,192.45,191.23,191.77,0
1/24/2019 15:00:00,192.05,192.87,191.97,192.56,0
1/25/2019 15:00:00,193.03,193.55,192.57,193.19,0
1/28/2019 15:00:00,193.49,193.82,191.44,192.15,0
1/29/2019 15:00:00,192.1,192.72,191.31,191.53,0
1/30/2019 15:00:00,191.62,192.14,191.18,191.94,0
1/31/2019 15:00:00,192.82,194,192.75,193.5,0
2/1/2019 15:00:00,193.81,194.52,192.71,193.57,0
2/4/2019 15:00:00,193.69,194.16,192.09,192.55,0
2/6/2019 15:00:00,193.31,195.34,193.31,195.09,0
2/7/2019 15:00:00,195.34,195.62,194.02,194.47,0
2/8/2019 15:00:00,193.95,194.09,193.14,193.99,0
2/11/2019 15:00:00,194.02,194.42,192.91,192.98,0
2/12/2019 15:00:00,192.88,193.36,189.23,190.19,0
2/13/2019 15:00:00,190.81,191.51,189.5,190.8,0
2/14/2019 15:00:00,191.15,191.54,190.12,190.84,0
2/15/2019 15:00:00,190.97,191.28,189.21,189.79,0
2/19/2019 15:00:00,193.41,194.01,193.11,193.23,0
2/20/2019 15:00:00,194.21,194.73,193.37,194.14,0
2/21/2019 15:00:00,194.06,194.91,193.71,194.88,0
2/22/2019 15:00:00,194.62,194.9,193.46,194.04,0
2/25/2019 15:00:00,194.67,195.22,194.21,194.74,0
2/26/2019 15:00:00,194.78,194.95,193.78,194.72,0
2/27/2019 15:00:00,194.61,194.69,193.3,194.15,0
2/28/2019 15:00:00,194.16,194.16,190.85,191.2,0
3/1/2019 15:00:00,191.94,193.2,191.87,192.6,0
3/4/2019 15:00:00,192.96,193.33,192.47,192.47,0
3/5/2019 15:00:00,192.64,192.64,190.35,191.43,0
3/6/2019 15:00:00,191.86,192.29,190.96,191.43,0
3/8/2019 15:00:00,190.86,190.93,188.73,188.86,0
3/11/2019 15:00:00,189.63,189.76,187.99,188.4,0
3/12/2019 15:00:00,189.11,189.48,187.49,188.3,0
3/13/2019 15:00:00,187.97,189.38,187.95,189.38,0
3/14/2019 15:00:00,189.41,190.32,189.17,190.32,0
3/15/2019 15:00:00,190.04,191.95,190.04,191.33,0
